payment_id,customer_id_payment,staff_id_payment,rental_id,amount,payment_date,rental_date,inventory_id,customer_id_rental,return_date,staff_id_rental,last_update_x_x,customer_id,store_id_x,first_name,last_name,email,address_id,activebool,create_date,last_update_y_x,active,film_id,store_id_y,last_update_x_y,title,description,release_year,language_id,rental_duration,rental_rate,length,replacement_cost,rating,last_update_y_y,special_features,fulltext
17503,341,2,1520,7.99,2007-02-15 22:25:46.996577,2005-06-15 23:57:20,3419,341,2005-06-24 23:46:20,1,2006-02-16 02:30:53,341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,True,2006-02-14,2013-05-26 14:49:45.738,1,749,1,2006-02-15 10:09:17,Rules Human,A Beautiful Epistle of a Astronaut And a Student who must Confront a Monkey in An Abandoned Fun House,2006,1,6,4.99,153,19.99,R,2013-05-26 14:50:58.951,"['Deleted Scenes', 'Behind the Scenes']",'abandon':19 'astronaut':8 'beauti':4 'confront':14 'epistl':5 'fun':20 'hous':21 'human':2 'monkey':16 'must':13 'rule':1 'student':11
17504,341,1,1778,1.99,2007-02-16 17:23:14.996577,2005-06-16 18:54:48,2512,341,2005-06-22 16:08:48,2,2006-02-16 02:30:53,341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,True,2006-02-14,2013-05-26 14:49:45.738,1,552,2,2006-02-15 10:09:17,Majestic Floats,A Thrilling Character Study of a Moose And a Student who must Escape a Butler in The First Manned Space Station,2006,1,5,0.99,130,15.99,PG,2013-05-26 14:50:58.951,['Trailers'],'butler':17 'charact':5 'escap':15 'first':20 'float':2 'majest':1 'man':21 'moos':9 'must':14 'space':22 'station':23 'student':12 'studi':6 'thrill':4
17505,341,1,1849,7.99,2007-02-16 22:41:45.996577,2005-06-17 00:13:19,2507,341,2005-06-23 18:37:19,2,2006-02-16 02:30:53,341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,True,2006-02-14,2013-05-26 14:49:45.738,1,551,1,2006-02-15 10:09:17,Maiden Home,A Lacklusture Saga of a Moose And a Teacher who must Kill a Forensic Psychologist in A MySQL Convention,2006,1,3,4.99,138,9.99,PG,2013-05-26 14:50:58.951,['Behind the Scenes'],'convent':21 'forens':16 'home':2 'kill':14 'lacklustur':4 'maiden':1 'moos':8 'must':13 'mysql':20 'psychologist':17 'saga':5 'teacher':11
17506,341,2,2829,2.99,2007-02-19 19:39:56.996577,2005-06-19 21:11:30,2047,341,2005-06-24 18:10:30,1,2006-02-16 02:30:53,341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,True,2006-02-14,2013-05-26 14:49:45.738,1,445,1,2006-02-15 10:09:17,Hyde Doctor,A Fanciful Documentary of a Boy And a Woman who must Redeem a Womanizer in A Jet Boat,2006,1,5,2.99,100,11.99,G,2013-05-26 14:50:58.951,"['Trailers', 'Deleted Scenes']","'boat':20 'boy':8 'doctor':2 'documentari':5 'fanci':4 'hyde':1 'jet':19 'must':13 'redeem':14 'woman':11,16"
17507,341,2,3130,7.99,2007-02-20 17:31:48.996577,2005-06-20 19:03:22,2569,341,2005-06-29 18:05:22,2,2006-02-16 02:30:53,341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,True,2006-02-14,2013-05-26 14:49:45.738,1,563,1,2006-02-15 10:09:17,Massacre Usual,A Fateful Reflection of a Waitress And a Crocodile who must Challenge a Forensic Psychologist in California,2006,1,6,4.99,165,16.99,R,2013-05-26 14:50:58.951,['Commentaries'],'california':19 'challeng':14 'crocodil':11 'fate':4 'forens':16 'massacr':1 'must':13 'psychologist':17 'reflect':5 'usual':2 'waitress':8
17508,341,1,3382,5.99,2007-02-21 12:33:49.996577,2005-06-21 14:05:23,131,341,2005-06-29 19:13:23,2,2006-02-16 02:30:53,341,1,Peter,Menard,peter.menard@sakilacustomer.org,346,True,2006-02-14,2013-05-26 14:49:45.738,1,26,1,2006-02-15 10:09:17,Annie Identity,A Amazing Panorama of a Pastry Chef And a Boat who must Escape a Woman in An Abandoned Amusement Park,2006,1,3,0.99,86,15.99,G,2013-05-26 14:50:58.951,"['Commentaries', 'Deleted Scenes']",'abandon':20 'amaz':4 'amus':21 'anni':1 'boat':12 'chef':9 'escap':15 'ident':2 'must':14 'panorama':5 'park':22 'pastri':8 'woman':17
17509,342,2,2190,5.99,2007-02-17 23:58:17.996577,2005-06-18 01:29:51,4398,342,2005-06-26 04:31:51,2,2006-02-16 02:30:53,342,1,Harold,Martino,harold.martino@sakilacustomer.org,347,True,2006-02-14,2013-05-26 14:49:45.738,1,961,2,2006-02-15 10:09:17,Wash Heavenly,A Awe-Inspiring Reflection of a Cat And a Pioneer who must Escape a Hunter in Ancient China,2006,1,7,4.99,161,22.99,R,2013-05-26 14:50:58.951,['Commentaries'],'ancient':20 'awe':5 'awe-inspir':4 'cat':10 'china':21 'escap':16 'heaven':2 'hunter':18 'inspir':6 'must':15 'pioneer':13 'reflect':7 'wash':1
17510,342,1,2914,5.99,2007-02-20 02:11:44.996577,2005-06-20 03:43:18,2419,342,2005-06-25 03:44:18,2,2006-02-16 02:30:53,342,1,Harold,Martino,harold.martino@sakilacustomer.org,347,True,2006-02-14,2013-05-26 14:49:45.738,1,527,2,2006-02-15 10:09:17,Lola Agent,A Astounding Tale of a Mad Scientist And a Husband who must Redeem a Database Administrator in Ancient Japan,2006,1,4,4.99,85,24.99,PG,2013-05-26 14:50:58.951,"['Trailers', 'Commentaries']",'administr':18 'agent':2 'ancient':20 'astound':4 'databas':17 'husband':12 'japan':21 'lola':1 'mad':8 'must':14 'redeem':15 'scientist':9 'tale':5
17511,342,1,3081,2.99,2007-02-20 13:57:39.996577,2005-06-20 15:29:13,2071,342,2005-06-24 21:00:13,2,2006-02-16 02:30:53,342,1,Harold,Martino,harold.martino@sakilacustomer.org,347,True,2006-02-14,2013-05-26 14:49:45.738,1,449,2,2006-02-15 10:09:17,Identity Lover,A Boring Tale of a Composer And a Mad Cow who must Defeat a Car in The Outback,2006,1,4,2.99,119,12.99,PG-13,2013-05-26 14:50:58.951,['Deleted Scenes'],'bore':4 'car':17 'compos':8 'cow':12 'defeat':15 'ident':1 'lover':2 'mad':11 'must':14 'outback':20 'tale':5
17512,343,2,1547,4.99,2007-02-16 00:10:50.996577,2005-06-16 01:42:24,2909,343,2005-06-19 01:13:24,1,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,639,2,2006-02-15 10:09:17,Opposite Necklace,A Fateful Epistle of a Crocodile And a Moose who must Kill a Explorer in Nigeria,2006,1,7,4.99,92,9.99,PG,2013-05-26 14:50:58.951,['Deleted Scenes'],'crocodil':8 'epistl':5 'explor':16 'fate':4 'kill':14 'moos':11 'must':13 'necklac':2 'nigeria':18 'opposit':1
17513,343,1,1564,6.99,2007-02-16 01:15:33.996577,2005-06-16 02:47:07,145,343,2005-06-24 03:12:07,1,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,30,1,2006-02-15 10:09:17,Anything Savannah,A Epic Story of a Pastry Chef And a Woman who must Chase a Feminist in An Abandoned Fun House,2006,1,4,2.99,82,27.99,R,2013-05-26 14:50:58.951,"['Trailers', 'Deleted Scenes', 'Behind the Scenes']",'abandon':20 'anyth':1 'chase':15 'chef':9 'epic':4 'feminist':17 'fun':21 'hous':22 'must':14 'pastri':8 'savannah':2 'stori':5 'woman':12
17514,343,2,1879,0.99,2007-02-17 01:26:00.996577,2005-06-17 02:57:34,3983,343,2005-06-19 00:00:34,1,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,868,1,2006-02-15 10:09:17,Superfly Trip,A Beautiful Saga of a Lumberjack And a Teacher who must Build a Technical Writer in An Abandoned Fun House,2006,1,5,0.99,114,27.99,PG,2013-05-26 14:50:58.951,"['Commentaries', 'Behind the Scenes']",'abandon':20 'beauti':4 'build':14 'fun':21 'hous':22 'lumberjack':8 'must':13 'saga':5 'superfli':1 'teacher':11 'technic':16 'trip':2 'writer':17
17515,343,2,1922,0.99,2007-02-17 04:32:51.996577,2005-06-17 06:04:25,2484,343,2005-06-18 09:15:25,2,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,545,1,2006-02-15 10:09:17,Madness Attacks,A Fanciful Tale of a Squirrel And a Boat who must Defeat a Crocodile in The Gulf of Mexico,2006,1,4,0.99,178,14.99,PG-13,2013-05-26 14:50:58.951,['Trailers'],'attack':2 'boat':11 'crocodil':16 'defeat':14 'fanci':4 'gulf':19 'mad':1 'mexico':21 'must':13 'squirrel':8 'tale':5
17516,343,2,2461,6.99,2007-02-18 18:26:38.996577,2005-06-18 19:58:12,78,343,2005-06-28 01:35:12,2,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,16,1,2006-02-15 10:09:17,Alley Evolution,A Fast-Paced Drama of a Robot And a Composer who must Battle a Astronaut in New Orleans,2006,1,6,2.99,180,23.99,NC-17,2013-05-26 14:50:58.951,"['Trailers', 'Commentaries']",'alley':1 'astronaut':18 'battl':16 'compos':13 'drama':7 'evolut':2 'fast':5 'fast-pac':4 'must':15 'new':20 'orlean':21 'pace':6 'robot':10
17517,343,1,2980,8.99,2007-02-20 07:03:29.996577,2005-06-20 08:35:03,310,343,2005-06-29 07:57:03,2,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,69,2,2006-02-15 10:09:17,Beverly Outlaw,A Fanciful Documentary of a Womanizer And a Boat who must Defeat a Madman in The First Manned Space Station,2006,1,3,2.99,85,21.99,R,2013-05-26 14:50:58.951,['Trailers'],'bever':1 'boat':11 'defeat':14 'documentari':5 'fanci':4 'first':19 'madman':16 'man':20 'must':13 'outlaw':2 'space':21 'station':22 'woman':8
17518,343,1,3407,0.99,2007-02-21 14:42:28.996577,2005-06-21 16:14:02,3919,343,2005-06-24 15:38:02,2,2006-02-16 02:30:53,343,1,Douglas,Graf,douglas.graf@sakilacustomer.org,348,True,2006-02-14,2013-05-26 14:49:45.738,1,855,2,2006-02-15 10:09:17,Streak Ridgemont,A Astounding Character Study of a Hunter And a Waitress who must Sink a Man in New Orleans,2006,1,7,0.99,132,28.99,PG-13,2013-05-26 14:50:58.951,"['Trailers', 'Behind the Scenes']",'astound':4 'charact':5 'hunter':9 'man':17 'must':14 'new':19 'orlean':20 'ridgemont':2 'sink':15 'streak':1 'studi':6 'waitress':12
17519,344,1,1341,3.99,2007-02-15 10:54:44.996577,2005-06-15 12:26:18,3363,344,2005-06-21 07:26:18,2,2006-02-16 02:30:53,344,1,Henry,Billingsley,henry.billingsley@sakilacustomer.org,349,True,2006-02-14,2013-05-26 14:49:45.738,1,738,1,2006-02-15 10:09:17,Rocketeer Mother,A Awe-Inspiring Character Study of a Robot And a Sumo Wrestler who must Discover a Womanizer in A Shark Tank,2006,1,3,0.99,178,27.99,PG-13,2013-05-26 14:50:58.951,"['Deleted Scenes', 'Behind the Scenes']",'awe':5 'awe-inspir':4 'charact':7 'discov':18 'inspir':6 'mother':2 'must':17 'robot':11 'rocket':1 'shark':23 'studi':8 'sumo':14 'tank':24 'woman':20 'wrestler':15
17520,344,2,1475,4.99,2007-02-15 19:36:27.996577,2005-06-15 21:08:01,1834,344,2005-06-18 22:33:01,2,2006-02-16 02:30:53,344,1,Henry,Billingsley,henry.billingsley@sakilacustomer.org,349,True,2006-02-14,2013-05-26 14:49:45.738,1,398,2,2006-02-15 10:09:17,Hanover Galaxy,A Stunning Reflection of a Girl And a Secret Agent who must Succumb a Boy in A MySQL Convention,2006,1,5,4.99,47,21.99,NC-17,2013-05-26 14:50:58.951,"['Commentaries', 'Deleted Scenes', 'Behind the Scenes']",'agent':12 'boy':17 'convent':21 'galaxi':2 'girl':8 'hanov':1 'must':14 'mysql':20 'reflect':5 'secret':11 'stun':4 'succumb':15
