customer_id,customer_name,store_id,segment,lifetime_value,total_rentals,days_inactive,churn_score,churn_risk
148,Eleanor Hunt,1,High Value,211.55,45,14,0.0689,Low Risk
526,Karl Seal,2,High Value,208.58,42,14,0.0869,Low Risk
178,Marion Snyder,2,High Value,194.61,39,0,0.0714,Low Risk
137,Rhonda Kennedy,2,High Value,191.62,38,14,0.1193,Low Risk
144,Clara Shaw,1,High Value,189.6,40,14,0.1093,Low Risk
459,Tommy Collazo,1,High Value,183.63,37,14,0.1333,Low Risk
181,Ana Bradley,2,High Value,167.67,33,0,0.1343,Low Risk
410,Curtis Irby,2,High Value,167.62,38,0,0.1044,Low Risk
236,Marcia Dean,1,High Value,166.61,39,0,0.0994,Low Risk
403,Mike Way,1,High Value,162.67,33,14,0.1782,Low Risk
522,Arnold Havens,2,High Value,161.68,32,14,0.1852,Low Risk
469,Wesley Bull,2,High Value,158.65,35,14,0.1702,Low Risk
470,Gordon Allard,1,High Value,157.69,31,14,0.1952,Low Risk
373,Louis Leone,1,High Value,156.66,34,0,0.1393,Low Risk
259,Lena Jensen,2,High Value,154.7,30,14,0.2042,Low Risk
468,Tim Cary,1,High Value,154.66,34,14,0.1802,Low Risk
462,Warren Sherrod,2,High Value,152.69,31,14,0.2002,Low Risk
372,Steve Mackenzie,2,High Value,152.68,32,14,0.1942,Low Risk
187,Brittany Riley,2,High Value,151.73,27,14,0.2252,Low Risk
550,Guy Brownlee,2,High Value,151.69,31,0,0.1623,Low Risk
176,June Carroll,1,High Value,151.68,32,14,0.1952,Low Risk
532,Neil Renner,2,High Value,149.69,31,0,0.1643,Low Risk
75,Tammy Sanders,2,High Value,149.61,39,0,0.1164,Low Risk
209,Tonya Chapman,2,High Value,147.71,29,14,0.2172,Low Risk
86,Jacqueline Long,2,High Value,146.68,32,14,0.2002,Low Risk
26,Jessica Hall,2,High Value,146.68,32,14,0.2002,Low Risk
21,Michelle Clark,1,High Value,146.68,32,0,0.1613,Low Risk
211,Stacey Montgomery,1,High Value,146.67,33,0,0.1553,Low Risk
346,Arthur Simpkins,1,High Value,145.7,30,14,0.2132,Low Risk
366,Brandon Huey,1,High Value,145.64,36,0,0.1384,Low Risk
50,Diane Collins,1,High Value,144.7,30,14,0.2142,Low Risk
360,Ralph Madrigal,2,High Value,144.68,32,14,0.2022,Low Risk
348,Roger Quintanilla,2,High Value,144.66,34,14,0.1902,Low Risk
513,Duane Tubbs,2,High Value,143.7,30,14,0.2152,Low Risk
454,Alex Gresham,2,High Value,143.68,32,14,0.2032,Low Risk
347,Ryan Salisbury,2,High Value,142.7,30,14,0.2162,Low Risk
390,Shawn Heaton,1,High Value,142.69,31,14,0.2102,Low Risk
267,Margie Wade,1,High Value,142.67,33,0,0.1593,Low Risk
257,Marsha Douglas,2,High Value,142.66,34,14,0.1922,Low Risk
39,Debra Nelson,1,High Value,141.71,29,14,0.2232,Low Risk
78,Lori Wood,1,High Value,141.69,31,14,0.2112,Low Risk
362,Nicholas Barfield,1,High Value,140.69,31,14,0.2122,Low Risk
363,Roy Whiting,2,High Value,139.72,28,14,0.2312,Low Risk
368,Harry Arce,1,High Value,139.69,31,14,0.2132,Low Risk
119,Sherry Marshall,1,High Value,139.69,31,14,0.2132,Low Risk
66,Janice Ward,2,High Value,139.67,33,14,0.2012,Low Risk
237,Tanya Gilbert,1,High Value,138.69,31,14,0.2142,Low Risk
29,Angela Hernandez,2,High Value,138.65,35,0,0.1514,Low Risk
87,Wanda Patterson,1,High Value,137.72,28,0,0.1943,Low Risk
80,Marilyn Ross,1,High Value,137.7,30,0,0.1823,Low Risk
439,Alexander Fennell,2,High Value,137.67,33,14,0.2032,Low Risk
558,Jimmie Eggleston,1,High Value,135.72,28,15,0.2379,Low Risk
494,Ramon Choate,2,High Value,135.7,30,14,0.2232,Low Risk
576,Morris Mccarter,2,High Value,135.68,32,0,0.1723,Low Risk
591,Kent Arsenault,1,High Value,134.73,27,14,0.2422,Low Risk
467,Alvin Deloach,2,High Value,134.72,28,15,0.2389,Low Risk
479,Zachary Hite,1,High Value,134.71,29,0,0.1913,Low Risk
120,Sylvia Ortiz,2,High Value,134.7,30,0,0.1853,Low Risk
210,Ella Oliver,2,High Value,134.7,30,15,0.227,Low Risk
204,Rosemary Schmidt,1,High Value,134.69,31,14,0.2182,Low Risk
15,Helen Harris,1,High Value,134.68,32,0,0.1733,Low Risk
5,Elizabeth Brown,1,High Value,134.65,35,0,0.1554,Low Risk
349,Joe Gilliland,2,High Value,133.72,28,0,0.1983,Low Risk
404,Stanley Scroggins,2,High Value,133.71,29,14,0.2312,Low Risk
172,Bernice Willis,1,High Value,133.7,30,14,0.2252,Low Risk
197,Sue Peters,2,High Value,133.68,32,14,0.2132,Low Risk
265,Jennie Terry,2,High Value,132.72,28,14,0.2382,Low Risk
533,Jessie Milam,1,High Value,132.7,30,0,0.1873,Low Risk
380,Russell Brinson,1,High Value,132.65,35,14,0.1962,Low Risk
472,Greg Robins,1,High Value,131.74,26,0,0.2123,Low Risk
13,Karen Jackson,2,High Value,131.73,27,14,0.2452,Low Risk
125,Ethel Webb,1,High Value,131.69,31,14,0.2212,Low Risk
46,Catherine Campbell,2,High Value,131.69,31,14,0.2212,Low Risk
3,Linda Williams,1,High Value,130.76,24,14,0.2641,Low Risk
7,Maria Miller,1,High Value,130.72,28,14,0.2402,Low Risk
273,Priscilla Lowe,2,High Value,130.72,28,14,0.2402,Low Risk
502,Brett Cornwell,1,High Value,130.7,30,14,0.2282,Low Risk
566,Casey Mena,1,High Value,130.68,32,14,0.2162,Low Risk
342,Harold Martino,1,High Value,130.68,32,14,0.2162,Low Risk
112,Rosa Reynolds,2,High Value,129.72,28,14,0.2412,Low Risk
560,Jordan Archuleta,1,High Value,129.71,29,0,0.1963,Low Risk
102,Crystal Ford,1,High Value,129.7,30,14,0.2292,Low Risk
168,Regina Berry,1,High Value,129.68,32,0,0.1783,Low Risk
484,Roberto Vu,1,High Value,128.73,27,14,0.2482,Low Risk
103,Gladys Hamilton,1,High Value,128.71,29,14,0.2362,Low Risk
