customer_id,customer_name,store_id,active,total_payments,lifetime_value,avg_payment,first_payment_date,last_payment_date,active_days,total_rentals,annualised_clv,segment
148,Eleanor Hunt,1,1,45,211.55,4.7011,2007-02-15,2007-04-30,74.12952546296296,45,1041.63,High Value
526,Karl Seal,2,1,42,208.58,4.9662,2007-02-15,2007-04-30,74.76747685185185,42,1018.25,High Value
178,Marion Snyder,2,1,39,194.61,4.99,2007-02-15,2007-05-14,88.25846064814814,39,804.83,High Value
137,Rhonda Kennedy,2,1,38,191.62,5.0426,2007-02-18,2007-04-30,71.13597222222222,38,983.21,High Value
144,Clara Shaw,1,1,40,189.6,4.74,2007-02-16,2007-04-30,72.60194444444444,40,953.2,High Value
459,Tommy Collazo,1,1,37,183.63,4.963,2007-02-17,2007-04-30,72.76643518518519,37,921.1,High Value
181,Ana Bradley,2,1,33,167.67,5.0809,2007-02-16,2007-05-14,87.28017361111111,33,701.19,High Value
410,Curtis Irby,2,1,38,167.62,4.4111,2007-02-15,2007-05-14,87.67950231481481,38,697.78,High Value
236,Marcia Dean,1,1,39,166.61,4.2721,2007-02-15,2007-05-14,88.3480324074074,39,688.33,High Value
403,Mike Way,1,1,33,162.67,4.9294,2007-02-15,2007-04-30,74.83363425925926,33,793.42,High Value
522,Arnold Havens,2,1,32,161.68,5.0525,2007-02-15,2007-04-30,74.69381944444444,32,790.07,High Value
469,Wesley Bull,2,1,35,158.65,4.5329,2007-02-15,2007-04-30,74.14503472222222,35,781.0,High Value
470,Gordon Allard,1,1,31,157.69,5.0868,2007-02-15,2007-04-30,74.6213425925926,31,771.32,High Value
373,Louis Leone,1,1,34,156.66,4.6076,2007-02-15,2007-05-14,87.76467592592593,34,651.53,High Value
259,Lena Jensen,2,1,30,154.7,5.1567,2007-02-16,2007-04-30,73.54326388888889,30,767.79,High Value
468,Tim Cary,1,1,34,154.66,4.5488,2007-02-15,2007-04-30,74.13421296296296,34,761.47,High Value
462,Warren Sherrod,2,1,31,152.69,4.9255,2007-02-16,2007-04-30,72.82778935185185,31,765.26,High Value
372,Steve Mackenzie,2,1,32,152.68,4.7713,2007-02-18,2007-04-30,71.03304398148148,32,784.54,High Value
187,Brittany Riley,2,1,27,151.73,5.6196,2007-02-15,2007-04-30,74.12736111111111,27,747.11,High Value
550,Guy Brownlee,2,1,31,151.69,4.8932,2007-02-15,2007-05-14,88.45655092592592,31,625.92,High Value
176,June Carroll,1,1,32,151.68,4.74,2007-02-15,2007-04-30,74.06451388888888,32,747.5,High Value
532,Neil Renner,2,1,31,149.69,4.8287,2007-02-16,2007-05-14,87.10810185185186,31,627.23,High Value
75,Tammy Sanders,2,1,39,149.61,3.8362,2007-02-17,2007-05-14,86.38587962962963,39,632.14,High Value
209,Tonya Chapman,2,1,29,147.71,5.0934,2007-02-15,2007-04-30,74.53734953703703,29,723.32,High Value
86,Jacqueline Long,2,1,32,146.68,4.5838,2007-02-16,2007-04-30,73.4417824074074,32,728.99,High Value
26,Jessica Hall,2,1,32,146.68,4.5838,2007-02-15,2007-04-30,74.19335648148149,32,721.6,High Value
21,Michelle Clark,1,1,32,146.68,4.5838,2007-02-18,2007-05-14,85.4633449074074,32,626.45,High Value
211,Stacey Montgomery,1,1,33,146.67,4.4445,2007-02-19,2007-05-14,83.80401620370371,33,638.81,High Value
346,Arthur Simpkins,1,1,30,145.7,4.8567,2007-02-17,2007-04-30,72.17021990740741,30,736.88,High Value
366,Brandon Huey,1,1,36,145.64,4.0456,2007-02-15,2007-05-14,87.94839120370371,36,604.43,High Value
50,Diane Collins,1,1,30,144.7,4.8233,2007-02-15,2007-04-30,74.84641203703704,30,705.65,High Value
360,Ralph Madrigal,2,1,32,144.68,4.5213,2007-02-15,2007-04-30,73.86170138888889,32,714.96,High Value
348,Roger Quintanilla,2,1,34,144.66,4.2547,2007-02-16,2007-04-30,73.57393518518519,34,717.66,High Value
513,Duane Tubbs,2,1,30,143.7,4.79,2007-02-16,2007-04-30,73.48646990740741,30,713.74,High Value
454,Alex Gresham,2,1,32,143.68,4.49,2007-02-16,2007-04-30,73.40939814814814,32,714.39,High Value
347,Ryan Salisbury,2,1,30,142.7,4.7567,2007-02-16,2007-04-30,72.97637731481481,30,713.73,High Value
390,Shawn Heaton,1,1,31,142.69,4.6029,2007-02-15,2007-04-30,73.75833333333334,31,706.11,High Value
267,Margie Wade,1,1,33,142.67,4.3233,2007-02-15,2007-05-14,88.3753125,33,589.24,High Value
257,Marsha Douglas,2,1,34,142.66,4.1959,2007-02-19,2007-04-30,70.79309027777778,34,735.54,High Value
39,Debra Nelson,1,1,29,141.71,4.8866,2007-02-16,2007-04-30,73.57429398148147,29,703.02,High Value
78,Lori Wood,1,1,31,141.69,4.5706,2007-02-18,2007-04-30,71.21694444444445,31,726.19,High Value
362,Nicholas Barfield,1,1,31,140.69,4.5384,2007-02-15,2007-04-30,73.66483796296296,31,697.1,High Value
363,Roy Whiting,2,1,28,139.72,4.99,2007-02-15,2007-04-30,73.94604166666667,28,689.66,High Value
368,Harry Arce,1,0,31,139.69,4.5061,2007-02-14,2007-04-30,74.80501157407407,31,681.6,High Value
119,Sherry Marshall,1,1,31,139.69,4.5061,2007-02-14,2007-04-30,74.84072916666666,31,681.27,High Value
66,Janice Ward,2,1,33,139.67,4.2324,2007-02-15,2007-04-30,74.16409722222222,33,687.39,High Value
237,Tanya Gilbert,1,1,31,138.69,4.4739,2007-02-15,2007-04-30,73.88861111111112,31,685.11,High Value
29,Angela Hernandez,2,1,35,138.65,3.9614,2007-02-19,2007-05-14,84.19260416666667,35,601.09,High Value
87,Wanda Patterson,1,1,28,137.72,4.9186,2007-02-16,2007-05-14,87.46085648148149,28,574.75,High Value
80,Marilyn Ross,1,1,30,137.7,4.59,2007-02-19,2007-05-14,84.39417824074074,30,595.54,High Value
439,Alexander Fennell,2,1,33,137.67,4.1718,2007-02-15,2007-04-30,74.43194444444444,33,675.11,High Value
558,Jimmie Eggleston,1,0,28,135.72,4.8471,2007-02-17,2007-04-29,71.63878472222223,28,691.49,High Value
494,Ramon Choate,2,1,30,135.7,4.5233,2007-02-16,2007-04-30,73.52039351851852,30,673.7,High Value
576,Morris Mccarter,2,1,32,135.68,4.24,2007-02-15,2007-05-14,88.03822916666667,32,562.52,High Value
591,Kent Arsenault,1,1,27,134.73,4.99,2007-02-15,2007-04-30,73.53965277777777,27,668.71,High Value
467,Alvin Deloach,2,1,28,134.72,4.8114,2007-02-16,2007-04-29,72.1547337962963,28,681.49,High Value
479,Zachary Hite,1,1,29,134.71,4.6452,2007-02-17,2007-05-14,86.44457175925926,29,568.79,High Value
120,Sylvia Ortiz,2,1,30,134.7,4.49,2007-02-15,2007-05-14,88.01815972222222,30,558.58,High Value
210,Ella Oliver,2,1,30,134.7,4.49,2007-02-14,2007-04-29,73.74980324074075,30,666.65,High Value
204,Rosemary Schmidt,1,1,31,134.69,4.3448,2007-02-15,2007-04-30,74.38688657407407,31,660.89,High Value
15,Helen Harris,1,1,32,134.68,4.2088,2007-02-18,2007-05-14,84.74244212962962,32,580.09,High Value
5,Elizabeth Brown,1,1,35,134.65,3.8471,2007-02-15,2007-05-14,87.7172337962963,35,560.29,High Value
349,Joe Gilliland,2,1,28,133.72,4.7757,2007-02-15,2007-05-14,88.5647800925926,28,551.1,High Value
404,Stanley Scroggins,2,1,29,133.71,4.6107,2007-02-15,2007-04-30,74.03049768518518,29,659.24,High Value
